,date,volume,open,high,low,close
0,2018-06-01 00:00:00,1527811200000,577.81000000,582.98000000,577.34000000,580.61000000
1,2018-06-01 01:00:00,1527814800000,580.60000000,580.64000000,577.50000000,578.60000000
2,2018-06-01 02:00:00,1527818400000,578.22000000,580.58000000,570.40000000,573.00000000
3,2018-06-01 03:00:00,1527822000000,572.92000000,575.00000000,568.90000000,573.47000000
4,2018-06-01 04:00:00,1527825600000,573.47000000,573.56000000,569.01000000,573.04000000
5,2018-06-01 05:00:00,1527829200000,573.46000000,574.66000000,572.05000000,574.46000000
6,2018-06-01 06:00:00,1527832800000,574.35000000,583.14000000,573.77000000,580.74000000
7,2018-06-01 07:00:00,1527836400000,580.75000000,586.70000000,580.73000000,583.11000000
8,2018-06-01 08:00:00,1527840000000,583.11000000,589.00000000,581.78000000,588.80000000
9,2018-06-01 09:00:00,1527843600000,588.80000000,590.26000000,582.51000000,584.49000000
10,2018-06-01 10:00:00,1527847200000,584.48000000,586.41000000,582.99000000,584.69000000
11,2018-06-01 11:00:00,1527850800000,584.69000000,587.80000000,570.13000000,570.63000000
12,2018-06-01 12:00:00,1527854400000,570.14000000,589.66000000,570.00000000,575.01000000
13,2018-06-01 13:00:00,1527858000000,575.00000000,576.00000000,572.32000000,575.75000000
14,2018-06-01 14:00:00,1527861600000,575.77000000,577.00000000,573.30000000,575.81000000
15,2018-06-01 15:00:00,1527865200000,575.69000000,577.00000000,572.50000000,576.31000000
16,2018-06-01 16:00:00,1527868800000,576.05000000,578.98000000,572.41000000,572.57000000
17,2018-06-01 17:00:00,1527872400000,572.41000000,572.80000000,564.93000000,568.02000000
18,2018-06-01 18:00:00,1527876000000,568.56000000,569.18000000,565.07000000,566.99000000
19,2018-06-01 19:00:00,1527879600000,566.99000000,574.86000000,566.12000000,572.23000000
20,2018-06-01 20:00:00,1527883200000,572.23000000,574.00000000,566.31000000,567.03000000
21,2018-06-01 21:00:00,1527886800000,567.02000000,571.00000000,566.00000000,570.12000000
22,2018-06-01 22:00:00,1527890400000,570.12000000,579.61000000,569.44000000,579.42000000
23,2018-06-01 23:00:00,1527894000000,579.61000000,582.15000000,578.15000000,579.00000000
0,2018-06-02 00:00:00,1527897600000,579.00000000,581.76000000,572.90000000,575.39000000
1,2018-06-02 01:00:00,1527901200000,575.77000000,580.62000000,574.86000000,578.71000000
2,2018-06-02 02:00:00,1527904800000,578.71000000,581.82000000,577.76000000,580.30000000
3,2018-06-02 03:00:00,1527908400000,580.35000000,582.80000000,577.60000000,577.92000000
4,2018-06-02 04:00:00,1527912000000,577.92000000,579.15000000,577.25000000,578.42000000
5,2018-06-02 05:00:00,1527915600000,578.38000000,582.00000000,577.25000000,581.24000000
6,2018-06-02 06:00:00,1527919200000,581.59000000,588.00000000,576.46000000,586.46000000
7,2018-06-02 07:00:00,1527922800000,586.41000000,589.99000000,585.36000000,587.80000000
8,2018-06-02 08:00:00,1527926400000,587.79000000,597.30000000,587.46000000,595.27000000
9,2018-06-02 09:00:00,1527930000000,595.27000000,596.41000000,593.51000000,595.62000000
10,2018-06-02 10:00:00,1527933600000,595.62000000,598.00000000,589.09000000,589.92000000
11,2018-06-02 11:00:00,1527937200000,589.96000000,592.84000000,587.00000000,592.73000000
12,2018-06-02 12:00:00,1527940800000,592.73000000,593.90000000,589.45000000,590.51000000
13,2018-06-02 13:00:00,1527944400000,590.51000000,592.50000000,589.67000000,590.91000000
14,2018-06-02 14:00:00,1527948000000,590.63000000,592.92000000,589.10000000,592.74000000
15,2018-06-02 15:00:00,1527951600000,592.74000000,597.10000000,589.00000000,590.89000000
16,2018-06-02 16:00:00,1527955200000,590.89000000,593.93000000,587.01000000,589.95000000
17,2018-06-02 17:00:00,1527958800000,590.04000000,592.78000000,588.00000000,589.99000000
18,2018-06-02 18:00:00,1527962400000,589.99000000,598.35000000,589.10000000,596.32000000
19,2018-06-02 19:00:00,1527966000000,596.32000000,599.17000000,594.18000000,598.46000000
20,2018-06-02 20:00:00,1527969600000,598.42000000,599.00000000,590.00000000,591.65000000
21,2018-06-02 21:00:00,1527973200000,591.01000000,594.56000000,590.66000000,593.79000000
