OpenTime,Open,High,Low,Close,Volume,CloseTime,QouteAssetVolume,NumberOfTrades,TakerBuyBaseAssetVolume,TakerBuyQuoteAssetVolume,?
1597950000000,2.87030000,2.91690000,2.82000000,2.88320000,719112.74000000,1597953599999,2049308.17625700,3656,242903.70000000,692465.99439000,0
1597953600000,2.88320000,2.89250000,2.81000000,2.81500000,399841.09000000,1597957199999,1129987.27739700,1937,179174.46000000,506822.77411000,0
1597957200000,2.81500000,3.00000000,2.78000000,2.79460000,553692.61000000,1597960799999,1562217.55974500,2525,230854.26000000,655435.42134300,0
1597960800000,2.79870000,2.85180000,2.60000000,2.77330000,1526847.73000000,1597964399999,4132689.43131800,7092,455280.69000000,1244230.47694300,0
1597964400000,2.77210000,2.91470000,2.77000000,2.90000000,436343.65000000,1597967999999,1234783.06830800,2039,185609.04000000,526754.71067300,0
1597968000000,2.89780000,2.92400000,2.88040000,2.90490000,267995.23000000,1597971599999,777919.23604500,1492,174239.38000000,505939.88893000,0
1597971600000,2.90890000,2.95700000,2.90380000,2.94090000,353856.20000000,1597975199999,1038703.75776400,1705,239992.24000000,704305.39827200,0
1597975200000,2.94080000,2.95000000,2.68960000,2.70910000,919237.68000000,1597978799999,2579106.17896700,2975,531919.96000000,1487382.76039700,0
1597978800000,2.70900000,2.85840000,2.68260000,2.83030000,472969.16000000,1597982399999,1318883.22650200,2314,282200.87000000,787710.29202700,0
1597982400000,2.84070000,2.89000000,2.79030000,2.83210000,465335.99000000,1597985999999,1316388.92734100,1882,212795.57000000,601584.13565200,0
1597986000000,2.83360000,2.89900000,2.80010000,2.86410000,248915.80000000,1597989599999,713665.02311000,1206,157965.01000000,452864.54722200,0
1597989600000,2.86790000,2.92180000,2.85000000,2.90750000,599494.13000000,1597993199999,1729130.57896600,1677,261584.50000000,756155.00776600,0
1597993200000,2.90600000,2.95120000,2.86530000,2.95120000,349575.67000000,1597996799999,1022079.08798800,1956,187542.69000000,549124.36559600,0
1597996800000,2.95100000,3.09000000,2.94500000,3.04510000,780840.73000000,1598000399999,2357271.56467200,3378,486949.27000000,1471484.82681700,0
1598000400000,3.04010000,3.08990000,2.90100000,2.90100000,573826.41000000,1598003999999,1725566.94994300,3038,267389.37000000,806606.77237100,0
1598004000000,2.90100000,3.02710000,2.89670000,3.00950000,456671.15000000,1598007599999,1364044.58078600,1824,176667.59000000,526339.58230100,0
1598007600000,3.00250000,3.01990000,2.84000000,2.89510000,317167.35000000,1598011199999,932260.77240600,1972,137614.77000000,406685.36193200,0
1598011200000,2.89540000,2.96960000,2.83110000,2.95930000,286613.15000000,1598014799999,827341.67516000,1929,160275.35000000,463048.46482700,0
1598014800000,2.95930000,2.96660000,2.92000000,2.93020000,257702.64000000,1598018399999,761056.29308900,1411,137573.85000000,406447.93904300,0
1598018400000,2.93020000,2.95090000,2.86000000,2.93670000,405485.47000000,1598021999999,1174740.48877200,2435,192817.40000000,559339.25610800,0
1598022000000,2.93670000,2.94930000,2.86710000,2.91160000,366741.49000000,1598025599999,1064570.85191500,1559,186368.96000000,539925.52772700,0
1598025600000,2.91060000,2.93850000,2.87930000,2.93350000,160000.61000000,1598029199999,466094.45685800,1300,72250.81000000,210585.17514300,0
1598029200000,2.93250000,2.97170000,2.91000000,2.93750000,176840.05000000,1598032799999,520127.87610500,1804,117316.08000000,344984.86143700,0
1598032800000,2.93470000,3.00000000,2.89000000,3.00000000,372935.34000000,1598036399999,1105553.42512800,2913,240302.05000000,713721.90667600,0
1598036400000,3.00000000,3.02800000,2.84410000,2.92740000,866974.62000000,1598039999999,2516355.74525900,4030,364243.65000000,1066371.01579400,0
1598040000000,2.92380000,2.98820000,2.84370000,2.89220000,368468.12000000,1598043599999,1073615.09256500,2086,209487.37000000,612211.64632800,0
1598043600000,2.89870000,2.93300000,2.86000000,2.89120000,239905.21000000,1598047199999,697382.09338100,2068,139313.51000000,405158.44755300,0
1598047200000,2.88540000,2.91280000,2.82000000,2.85150000,300320.34000000,1598050799999,861643.17917300,2108,140477.88000000,403417.08451200,0
1598050800000,2.85570000,2.90920000,2.83040000,2.83300000,157281.20000000,1598054399999,450034.79158900,1316,86737.05000000,248666.63030600,0
1598054400000,2.83870000,2.87000000,2.78200000,2.81000000,300185.74000000,1598057999999,844218.80137400,1692,152205.05000000,428373.29109200,0
1598058000000,2.81000000,2.86420000,2.78300000,2.84000000,306438.46000000,1598061599999,864278.86452000,1853,108582.46000000,306138.90395700,0
1598061600000,2.84000000,2.87000000,2.82000000,2.85770000,138519.70000000,1598065199999,393835.49560300,1153,66210.99000000,188394.85632200,0
1598065200000,2.85710000,2.94860000,2.85200000,2.93980000,277529.92000000,1598068799999,807613.46756400,2100,134775.88000000,392478.66538900,0
1598068800000,2.93610000,2.94210000,2.86750000,2.91330000,245989.27000000,1598072399999,716248.34462600,1720,102864.06000000,299660.12067500,0
1598072400000,2.91020000,2.96000000,2.87430000,2.93010000,243998.09000000,1598075999999,713967.62955900,1565,155873.58000000,456436.68528600,0
1598076000000,2.93540000,2.96020000,2.90150000,2.95810000,265596.79000000,1598079599999,778555.79399600,1400,182849.70000000,536021.89411100,0
1598079600000,2.95520000,3.68680000,2.95450000,3.41000000,5083463.17000000,1598083199999,17302964.69107000,26339,3355634.39000000,11375276.48765000,0
1598083200000,3.41220000,3.82000000,3.21100000,3.80030000,3649898.18000000,1598086799999,12672888.15038000,23837,2032398.06000000,7111104.11202200,0
1598086800000,3.81880000,4.01900000,3.60200000,3.89970000,4129048.33000000,1598090399999,15879058.96854100,22603,2486033.06000000,9583273.13994900,0
1598090400000,3.89200000,3.98000000,3.63630000,3.82000000,2701590.43000000,1598093999999,10248612.85185000,16890,1536465.43000000,5825096.39254800,0
1598094000000,3.82000000,3.86000000,3.65000000,3.81530000,1431392.79000000,1598097599999,5362852.34723900,10570,785055.13000000,2945968.75053400,0
1598097600000,3.82050000,3.85000000,3.50100000,3.64150000,2522718.64000000,1598101199999,9133487.81282700,15847,1211189.20000000,4386979.17861700,0
1598101200000,3.64140000,4.03130000,3.63500000,3.81490000,2686263.20000000,1598104799999,10337350.24519000,18468,1641944.70000000,6320204.83928100,0
1598104800000,3.81490000,3.93530000,3.60000000,3.82550000,2871161.02000000,1598108399999,10861158.33851700,22268,1373167.19000000,5221747.21940700,0
1598108400000,3.82410000,3.89180000,3.73950000,3.82260000,1145146.61000000,1598111999999,4379186.88478500,9273,610913.53000000,2339723.85539600,0
1598112000000,3.82260000,4.00000000,3.78150000,3.99010000,1508906.34000000,1598115599999,5899571.85308800,13792,891763.49000000,3491413.94141400,0
1598115600000,3.99010000,4.19000000,3.84960000,4.15820000,2345558.43000000,1598119199999,9432105.86527100,17562,1266665.51000000,5092888.15387700,0
1598119200000,4.16460000,4.36340000,4.09210000,4.24540000,3002631.20000000,1598122799999,12733403.77865100,24022,1631705.75000000,6916319.65894600,0
1598122800000,4.24540000,4.33190000,4.13300000,4.21900000,1150635.69000000,1598126399999,4868053.47563400,10277,638874.96000000,2705375.99781900,0
1598126400000,4.21970000,4.28880000,4.05600000,4.10000000,1086114.95000000,1598129999999,4522462.12196600,9374,576781.96000000,2402107.03702200,0
1598130000000,4.09820000,4.30000000,3.93330000,4.27170000,1553619.38000000,1598133599999,6344760.64707500,12781,796086.67000000,3253163.62539400,0
