OpenTime,Open,High,Low,Close,Volume,Date
1600498800.0,6.57690000,6.63300000,6.25590000,6.3247,1742638.79000000,2020-09-19 07:00:00
1600502400.0,6.32070000,6.61000000,6.26000000,6.5646,2077467.03000000,2020-09-19 08:00:00
1600506000.0,6.56460000,6.94460000,6.52000000,6.8052,2763894.98000000,2020-09-19 09:00:00
1600509600.0,6.80010000,6.81000000,6.45500000,6.6369,2064017.68000000,2020-09-19 10:00:00
1600513200.0,6.63700000,7.38000000,6.60000000,7.2472,5303233.64000000,2020-09-19 11:00:00
1600516800.0,7.24740000,7.29000000,6.83600000,7.1398,3227457.84000000,2020-09-19 12:00:00
1600520400.0,7.13980000,7.49630000,7.12900000,7.221,3315109.16000000,2020-09-19 13:00:00
1600524000.0,7.22400000,7.23000000,6.69160000,6.8263,2514025.56000000,2020-09-19 14:00:00
1600527600.0,6.82630000,6.91340000,6.57520000,6.7116,2597829.41000000,2020-09-19 15:00:00
1600531200.0,6.71940000,6.92290000,6.37000000,6.3739,2911725.40000000,2020-09-19 16:00:00
1600534800.0,6.37410000,6.58000000,6.01340000,6.1105,4056093.39000000,2020-09-19 17:00:00
1600538400.0,6.11500000,6.16050000,5.60100000,6.127,6841269.40000000,2020-09-19 18:00:00
1600542000.0,6.12700000,6.28030000,5.79070000,5.8792,4541806.62000000,2020-09-19 19:00:00
1600545600.0,5.87920000,6.17330000,5.82140000,5.9802,1843296.10000000,2020-09-19 20:00:00
1600549200.0,5.97760000,5.98120000,5.45110000,5.6836,3299516.43000000,2020-09-19 21:00:00
1600552800.0,5.68780000,5.72300000,5.19000000,5.59,5664484.33000000,2020-09-19 22:00:00
1600556400.0,5.59660000,5.83660000,5.50300000,5.7244,2981056.62000000,2020-09-19 23:00:00
1600560000.0,5.72440000,5.80000000,5.50000000,5.6314,1737244.10000000,2020-09-20 00:00:00
1600563600.0,5.63140000,5.63790000,5.28000000,5.5195,2269504.50000000,2020-09-20 01:00:00
1600567200.0,5.51790000,5.77400000,5.46020000,5.5785,2128548.10000000,2020-09-20 02:00:00
1600570800.0,5.57820000,6.09000000,5.46220000,5.9565,2632898.75000000,2020-09-20 03:00:00
1600574400.0,5.95620000,6.02590000,5.74010000,5.9666,1531658.41000000,2020-09-20 04:00:00
1600578000.0,5.96660000,5.96890000,5.74480000,5.8291,1262522.12000000,2020-09-20 05:00:00
1600581600.0,5.83200000,5.84000000,5.55000000,5.56,1442757.24000000,2020-09-20 06:00:00
1600585200.0,5.56500000,5.79500000,5.55240000,5.6264,1165309.41000000,2020-09-20 07:00:00
1600588800.0,5.62640000,5.67610000,5.46000000,5.519,1810991.14000000,2020-09-20 08:00:00
