OpenTime,Open,High,Low,Close,Volume,Date
1514764800.0,733.01000000,734.52000000,720.03000000,727.62,2105.90100000,2018-01-01 00:00:00.000000000
1514768400.0,727.01000000,732.00000000,716.80000000,717.97,2305.97086000,2018-01-01 01:00:00.000000000
1514772000.0,717.67000000,725.75000000,717.59000000,724.05,2166.45725000,2018-01-01 02:00:00.000000000
1514775600.0,723.95000000,737.99000000,722.70000000,734.5,2160.90450000,2018-01-01 03:00:00.000000000
1514779200.0,734.99000000,744.98000000,730.01000000,744.82,2335.33705000,2018-01-01 04:00:00.000000000
1514782800.0,744.78000000,750.00000000,742.08000000,748.99,2289.19266000,2018-01-01 05:00:00.000000000
1514786400.0,748.91000000,762.18000000,746.21000000,762.18,2504.12876000,2018-01-01 06:00:00.000000000
1514790000.0,762.18000000,763.55000000,750.00000000,751.99,2363.68887000,2018-01-01 07:00:00.000000000
1514793600.0,751.77000000,758.10000000,737.40000000,745.0,2384.46369000,2018-01-01 08:00:00.000000000
1514797200.0,744.08000000,755.00000000,744.08000000,753.21,1817.60549000,2018-01-01 09:00:00.000000000
1514800800.0,754.22000000,759.00000000,750.00000000,757.1,1619.87095000,2018-01-01 10:00:00.000000000
1514804400.0,757.07000000,758.00000000,730.58000000,741.01,3117.42838000,2018-01-01 11:00:00.000000000
1514808000.0,741.01000000,748.80000000,737.74000000,745.0,2263.78790000,2018-01-01 12:00:00.000000000
1514811600.0,746.52000000,747.06000000,729.79000000,738.93,2714.39907000,2018-01-01 13:00:00.000000000
1514815200.0,738.99000000,744.67000000,724.15000000,742.74,3771.64879000,2018-01-01 14:00:00.000000000
1514818800.0,742.41000000,752.27000000,738.37000000,748.8,2534.25088000,2018-01-01 15:00:00.000000000
1514822400.0,748.27000000,748.91000000,733.00000000,739.08,1888.00762000,2018-01-01 16:00:00.000000000
1514826000.0,739.25000000,747.18000000,735.59000000,737.02,2244.68377000,2018-01-01 17:00:00.000000000
1514829600.0,737.01000000,743.58000000,734.00000000,742.98,1626.99167000,2018-01-01 18:00:00.000000000
