OpenTime,Open,High,Low,Close,Volume,Date
1598140800.0,4.47560000,4.48640000,4.24680000,4.2884,1435644.66000000,2020-08-23 00:00:00
1598144400.0,4.28250000,4.41660000,4.13200000,4.41,1100079.62000000,2020-08-23 01:00:00
1598148000.0,4.41000000,4.41330000,4.21000000,4.3066,746797.18000000,2020-08-23 02:00:00
1598151600.0,4.31000000,4.31510000,4.02020000,4.1,1473303.08000000,2020-08-23 03:00:00
1598155200.0,4.10000000,4.26000000,4.02790000,4.2522,717698.09000000,2020-08-23 04:00:00
1598158800.0,4.25990000,4.27760000,4.09000000,4.1473,579994.74000000,2020-08-23 05:00:00
1598162400.0,4.14730000,4.14970000,4.01000000,4.1386,811721.32000000,2020-08-23 06:00:00
1598166000.0,4.13860000,4.26910000,4.11020000,4.2083,549976.39000000,2020-08-23 07:00:00
1598169600.0,4.20930000,4.22550000,4.12020000,4.1262,583962.40000000,2020-08-23 08:00:00
1598173200.0,4.13350000,4.19380000,4.12900000,4.1778,501210.15000000,2020-08-23 09:00:00
1598176800.0,4.18000000,4.18330000,3.80290000,3.8891,2221928.19000000,2020-08-23 10:00:00
1598180400.0,3.90000000,3.98880000,3.71700000,3.7399,1858100.57000000,2020-08-23 11:00:00
1598184000.0,3.74180000,3.93190000,3.70320000,3.847,2241666.16000000,2020-08-23 12:00:00
1598187600.0,3.84700000,3.97360000,3.82140000,3.8441,1178728.39000000,2020-08-23 13:00:00
1598191200.0,3.83800000,3.91020000,3.78020000,3.8375,1116829.94000000,2020-08-23 14:00:00
1598194800.0,3.84560000,3.91560000,3.71850000,3.91,1250089.02000000,2020-08-23 15:00:00
1598198400.0,3.91000000,3.91830000,3.72400000,3.7803,964304.81000000,2020-08-23 16:00:00
1598202000.0,3.78090000,3.88800000,3.75000000,3.7676,531725.61000000,2020-08-23 17:00:00
1598205600.0,3.76330000,3.88620000,3.75250000,3.8363,398467.00000000,2020-08-23 18:00:00
1598209200.0,3.84370000,4.10000000,3.84280000,4.0318,745188.42000000,2020-08-23 19:00:00
1598212800.0,4.04310000,4.12850000,3.94680000,3.983,606483.80000000,2020-08-23 20:00:00
1598216400.0,3.98070000,4.05810000,3.89100000,3.9104,802805.12000000,2020-08-23 21:00:00
1598220000.0,3.91050000,3.92440000,3.85400000,3.9206,436567.23000000,2020-08-23 22:00:00
1598223600.0,3.92060000,4.12840000,3.92060000,3.9779,992037.76000000,2020-08-23 23:00:00
1598227200.0,3.98050000,4.01980000,3.86500000,3.94,617907.98000000,2020-08-24 00:00:00
1598230800.0,3.94000000,3.94800000,3.80000000,3.8211,617121.59000000,2020-08-24 01:00:00
1598234400.0,3.82000000,4.00000000,3.78000000,3.8782,1182038.33000000,2020-08-24 02:00:00
1598238000.0,3.87990000,3.95730000,3.85840000,3.9471,389278.59000000,2020-08-24 03:00:00
1598241600.0,3.94710000,4.00000000,3.85210000,3.9992,611220.61000000,2020-08-24 04:00:00
1598245200.0,3.99920000,4.04160000,3.92530000,3.969,812468.74000000,2020-08-24 05:00:00
1598248800.0,3.96880000,4.14000000,3.96870000,4.0586,973810.62000000,2020-08-24 06:00:00
1598252400.0,4.05840000,4.11530000,3.94700000,3.9634,1192036.92000000,2020-08-24 07:00:00
1598256000.0,3.96380000,4.03120000,3.90010000,3.9321,765529.71000000,2020-08-24 08:00:00
1598259600.0,3.93210000,4.07600000,3.93210000,4.0464,734485.67000000,2020-08-24 09:00:00
1598263200.0,4.04660000,4.15980000,4.02250000,4.079,1110537.20000000,2020-08-24 10:00:00
1598266800.0,4.07900000,4.16010000,4.01740000,4.1541,1018211.62000000,2020-08-24 11:00:00
1598270400.0,4.15410000,4.31970000,4.10000000,4.2718,1588536.70000000,2020-08-24 12:00:00
1598274000.0,4.27180000,4.27850000,4.16900000,4.2618,1175298.44000000,2020-08-24 13:00:00
1598277600.0,4.26130000,4.29000000,4.11940000,4.1656,985900.23000000,2020-08-24 14:00:00
1598281200.0,4.16280000,4.25290000,4.10000000,4.2105,732685.27000000,2020-08-24 15:00:00
1598284800.0,4.21050000,4.38760000,4.17550000,4.3805,1217247.58000000,2020-08-24 16:00:00
1598288400.0,4.38290000,4.49990000,4.30000000,4.4251,2734044.43000000,2020-08-24 17:00:00
1598292000.0,4.42760000,4.42760000,4.27500000,4.2822,1016123.62000000,2020-08-24 18:00:00
1598295600.0,4.28100000,4.48500000,4.27700000,4.4499,775486.28000000,2020-08-24 19:00:00
1598299200.0,4.44900000,4.67000000,4.35000000,4.6609,1620862.78000000,2020-08-24 20:00:00
