Timestamp,Open,High,Low,Close,Volume,symbol,Date
1608683280.0,634.87,635.3,634.72,634.96,103.82334,ETH/BUSD,2020-12-23 00:28:00
1608683340.0,634.97,635.1,634.82,634.92,468.32146,ETH/BUSD,2020-12-23 00:29:00
1608683400.0,634.92,634.92,633.88,634.07,163.43883,ETH/BUSD,2020-12-23 00:30:00
1608683460.0,634.07,634.56,633.5,634.47,174.67188,ETH/BUSD,2020-12-23 00:31:00
1608683520.0,634.38,634.52,634.17,634.31,55.24482,ETH/BUSD,2020-12-23 00:32:00
1608683580.0,634.3,635.1,634.2,635.03,158.99436,ETH/BUSD,2020-12-23 00:33:00
1608683640.0,635.07,635.26,634.76,635.18,92.44488,ETH/BUSD,2020-12-23 00:34:00
1608683700.0,635.18,636.15,635.1,636.14,299.4932,ETH/BUSD,2020-12-23 00:35:00
1608683760.0,636.15,636.19,635.11,635.11,178.94636,ETH/BUSD,2020-12-23 00:36:00
1608683820.0,635.1,635.14,634.7,634.7,173.99295,ETH/BUSD,2020-12-23 00:37:00
1608683880.0,634.7,634.7,633.4,633.41,269.22328,ETH/BUSD,2020-12-23 00:38:00
1608683940.0,633.41,634.32,633.41,634.32,156.52002,ETH/BUSD,2020-12-23 00:39:00
1608684000.0,634.36,634.64,633.49,633.69,159.20278,ETH/BUSD,2020-12-23 00:40:00
1608684060.0,633.6,634.27,633.26,633.69,381.13652,ETH/BUSD,2020-12-23 00:41:00
1608684120.0,633.64,633.98,633.44,633.44,109.07969,ETH/BUSD,2020-12-23 00:42:00
1608684180.0,633.44,633.52,632.85,632.85,158.51822,ETH/BUSD,2020-12-23 00:43:00
1608684240.0,632.85,633.31,632.81,633.24,113.52904,ETH/BUSD,2020-12-23 00:44:00
1608684300.0,633.34,633.59,632.96,633.12,70.69782,ETH/BUSD,2020-12-23 00:45:00
1608684360.0,633.12,634.31,633.09,634.15,260.30157,ETH/BUSD,2020-12-23 00:46:00
1608684420.0,634.15,634.69,634.15,634.38,86.3516,ETH/BUSD,2020-12-23 00:47:00
1608684480.0,634.39,634.44,634.12,634.27,67.76275,ETH/BUSD,2020-12-23 00:48:00
1608684540.0,634.35,634.7,634.21,634.65,23.8282,ETH/BUSD,2020-12-23 00:49:00
1608684600.0,634.65,635.0,634.62,634.62,87.75247,ETH/BUSD,2020-12-23 00:50:00
