OpenTime,Open,High,Low,Close,Volume,Date
1597125600.0,21.59000000,26.00000000,20.00000000,20.396,1159.07700000,2020-08-11 06:00:00
1597129200.0,20.40000000,20.60000000,19.36000000,20.227,2652.39800000,2020-08-11 07:00:00
1597132800.0,20.22700000,20.72100000,20.15600000,20.6,1567.62400000,2020-08-11 08:00:00
1597136400.0,20.46900000,20.93400000,20.27400000,20.49,1447.80100000,2020-08-11 09:00:00
1597140000.0,20.49000000,21.40600000,20.16400000,20.357,1070.25600000,2020-08-11 10:00:00
1597143600.0,20.35700000,21.21500000,20.27800000,20.575,2266.23500000,2020-08-11 11:00:00
1597147200.0,20.51100000,21.00200000,19.95400000,20.193,1228.13900000,2020-08-11 12:00:00
1597150800.0,20.19400000,20.19400000,18.85900000,19.324,3045.16900000,2020-08-11 13:00:00
1597154400.0,19.42300000,20.37000000,18.98000000,19.051,4101.22900000,2020-08-11 14:00:00
1597158000.0,19.06600000,20.38900000,18.50200000,19.19,3311.92500000,2020-08-11 15:00:00
1597161600.0,19.20000000,20.34300000,18.77500000,19.458,5876.93400000,2020-08-11 16:00:00
1597165200.0,19.31200000,20.00000000,19.30000000,19.993,1074.92500000,2020-08-11 17:00:00
1597168800.0,19.99700000,21.00000000,19.71000000,20.351,2172.70700000,2020-08-11 18:00:00
1597172400.0,20.35000000,20.75000000,20.19800000,20.455,1835.53500000,2020-08-11 19:00:00
1597176000.0,20.45500000,20.56100000,19.01100000,19.733,3031.40600000,2020-08-11 20:00:00
1597179600.0,19.67000000,20.74200000,19.31200000,20.0,933.11200000,2020-08-11 21:00:00
1597183200.0,20.00100000,20.54700000,20.00000000,20.25,1382.44500000,2020-08-11 22:00:00
1597186800.0,20.42400000,20.73700000,19.94700000,20.373,2005.52600000,2020-08-11 23:00:00
1597190400.0,20.10600000,20.26500000,19.04200000,19.042,2357.98100000,2020-08-12 00:00:00
1597194000.0,19.15600000,21.95200000,19.15000000,20.305,6892.45200000,2020-08-12 01:00:00
1597197600.0,20.46000000,20.51200000,19.30200000,19.465,6512.59500000,2020-08-12 02:00:00
1597201200.0,19.46800000,20.20000000,19.28900000,19.944,2833.54700000,2020-08-12 03:00:00
1597204800.0,19.72400000,19.95000000,19.33300000,19.333,1609.30100000,2020-08-12 04:00:00
1597208400.0,19.56900000,19.90800000,19.19500000,19.444,2622.89300000,2020-08-12 05:00:00
1597212000.0,19.30800000,19.78600000,19.00100000,19.562,1098.43800000,2020-08-12 06:00:00
1597215600.0,19.72400000,21.00000000,19.48600000,20.808,7458.31100000,2020-08-12 07:00:00
1597219200.0,20.78900000,21.33500000,20.41200000,20.865,4754.52100000,2020-08-12 08:00:00
1597222800.0,20.64800000,21.01100000,20.20000000,20.325,2444.70700000,2020-08-12 09:00:00
1597226400.0,20.32400000,21.38100000,20.27000000,21.163,6501.49300000,2020-08-12 10:00:00
1597230000.0,21.03100000,21.75000000,21.00000000,21.382,5891.78600000,2020-08-12 11:00:00
1597233600.0,21.38100000,23.50000000,21.00000000,22.112,8801.38400000,2020-08-12 12:00:00
1597237200.0,22.08500000,22.55400000,21.55800000,21.878,7468.17900000,2020-08-12 13:00:00
1597240800.0,21.87900000,22.94800000,21.87900000,22.871,8466.36500000,2020-08-12 14:00:00
1597244400.0,22.86600000,24.90000000,22.75800000,23.539,16637.05100000,2020-08-12 15:00:00
1597248000.0,23.55200000,23.67600000,22.50000000,22.662,8143.48600000,2020-08-12 16:00:00
1597251600.0,22.66200000,22.80000000,21.99400000,22.341,6064.17600000,2020-08-12 17:00:00
1597255200.0,22.38500000,22.69400000,22.02500000,22.095,1794.85200000,2020-08-12 18:00:00
1597258800.0,22.22900000,22.50000000,21.99400000,22.303,761.34900000,2020-08-12 19:00:00
1597262400.0,22.30300000,22.81900000,20.67000000,22.177,4603.74300000,2020-08-12 20:00:00
1597266000.0,22.17700000,22.85100000,22.17700000,22.772,2650.60500000,2020-08-12 21:00:00
1597269600.0,22.64400000,22.81900000,22.06700000,22.099,1856.57400000,2020-08-12 22:00:00
1597273200.0,22.33900000,23.05700000,21.80000000,22.397,4502.36700000,2020-08-12 23:00:00
1597276800.0,22.45700000,23.73300000,22.33300000,22.7,3420.25000000,2020-08-13 00:00:00
1597280400.0,22.54700000,22.79700000,22.45000000,22.45,2433.51800000,2020-08-13 01:00:00
1597284000.0,22.45000000,22.65600000,21.58000000,21.797,3661.71000000,2020-08-13 02:00:00
